text,label
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,0
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,0
"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",0
$ESS: BTIG Research cuts to Neutral https://t.co/MCyfTsXc2N,0
$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,0
$FTI - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank https://t.co/XKcPDilIuU,0
$GM - GM loses a bull https://t.co/tdUfG5HbXy,0
$GM: Deutsche Bank cuts to Hold https://t.co/7Fv1ZiFZBS,0
$GTT: Cowen cuts to Market Perform,0
$HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay https://t.co/rlnEwzlzzS,0
$HOG - Moody's warns on Harley-Davidson https://t.co/LurHBEadeU,0
"$HXL - Citing aero ties, Wells slashes PT on Hexcel https://t.co/wU5P2i8WBU",0
$I - Intelsat cut to Market Perform at Raymond James https://t.co/YsvsMSQRIb,0
$KRG: Compass Point cuts to Sell https://t.co/MCyfTsXc2N,0
$LK - Muddy Waters goes short Luckin Coffee https://t.co/8yrbwAjLKG,0
$MANT - ManTech downgraded ahead of difficult comps https://t.co/mJ1eSrsFXJ,0
$MDCO: Oppenheimer cuts to Perform,0
$MPLX $MPC - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review https://t.co/0BFQy4ZU6W,0
$MSGN - Imperial downgrades MSG Networks amid sports-free airwaves https://t.co/Ul2S6XNXw8,0
$MTLS - Piper hits the Materialise sidelines https://t.co/qlFxZuhkrt,0
$NCBS: Hovde Group cuts to Market Perform,0
$NFLX - New Netflix bear steps out https://t.co/PdPkgLk0FQ,0
$SHOP - Shopify loses a bull https://t.co/eoq7Lchtk4,0
$STAY - Nomura Instinet loses confidence in Extended Stay America https://t.co/WrQXTC38nB,0
$TWLO - Twilio gets Street-low target on virus risk https://t.co/Ky3d8DxnjX,0
$VCLT $SPLB $IGLB - Guggenheim's Minerd sees more gloom ahead in stocks https://t.co/NKYQgy2o3J,0
$VIAC $VIACA $FOX - MoffettNathanson expects NFL TV costs to skyrocket https://t.co/APfxEqSSRF,0
$VIAC: Barrington Research cuts to Mkt Perform https://t.co/7Fv1ZiFZBS,0
$XLNX - Mizuho cuts XLNX target on near-term headwinds https://t.co/hsWCvJb1Ct,0
2U downgraded to sector weight from overweight at KeyBanc Capital,0
Alphabet and Facebook price targets cut at Barclays on weaker ad outlook https://t.co/PlbSaE1Nc2,0
AMC Networks price target cut to $35 from $39 at Imperial Capital,0
American Software downgraded to neutral from buy at B. Riley FBR,0
Analysts question Silicon Motion's margin outlook,0
Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer,0
Arch Coal stock price target cut to $97 from $100 at B. Riley FBR,0
AT&T downgraded by MoffettNathanson to sell on concern wireless can't carry the whole company,0
AT&T shares sink after MoffettNathanson downgrade,0
"AT&T stock falls after MoffettNathanson downgrades, saying dividend looks less compelling",0
Aurora Cannabis stock price target cut to C$1.00 from C$1.75 at Stifel Nicolaus,0
Autodesk downgraded to underweight from neutral at JPMorgan,0
BAML warns of profit pressure for Hormel,0
Barclays cools on Molson Coors,0
Becton Dickinson downgraded to outperform from strong buy at Raymond James,0
Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital,0
Berry Petroleum downgraded to market perform from outperform at BMO Capital,0
Berry Petroleum downgraded to underweight from sector weight at KeyBanc Capital,0
Bluebird bio downgraded to in line from outperform at Evercore ISI,0
Bluebird bio stock price target cut to $86 from $172 at Evercore ISI,0
Canada Goose downgraded to buy from strong buy at CFRA,0
Canada Goose stock price target cut to $50 from $65 at CFRA,0
Children's Place downgraded as e-commerce puts margins at risk,0
Children's Place price target cut to $80 from $105 at Monness Crespi Hardt,0
Cinedigm Corp. Analysts Are Cutting Their Estimates: Here's What You Need To Know,0
Clovis Oncology stock price target cut to $8 from $12 at Evercore ISI,0
Cumberland Pharmaceuticals stock price target cut to $9.00 from $12.25 at B. Riley FBR,0
"Dell, HPE targets trimmed on compute headwinds",0
Dish may not be key winner amid Intelsat woes - analyst,0
Disney downgraded as analyst says parks attendance could take 2 years to 'normalize' https://t.co/InJKourtW3,0
Downgrades 11/25: $AEO $COLM $DGII $EQT $ESS $EVRG $GTT $KRG $MANT $MDCO $NFLX $OMP $PEG $PRU $SBT $SITC $TAP $VIPS,0
Downgrades 4/7: $MLND $MSGN $MTLS $O $OC $OVV $PEB $PK $PLYA $QEP $RHP $RPAI $SAIA $SDC $SHOP $SKY $SLG $SM $TWLO… https://t.co/NGkYTADOSt,0
Dropbox on watch after stinging Spruce Point report,0
